RA,DEC,TESSMAG,TEFF,PRIORITY,RADIUS,MASS,CONTRATIO,ECLONG,ECLAT,DIST,TICID,SPEC_LIST
301.720752,44.41206,15.024,4651.0,0.000151536522227,0.7,0.73,0.433883796641,323.382128,62.099786,,185408817,knownplanet
315.905492,11.989405,12.475,5835.0,0.00016498900174999998,1.86,1.21,0.0388741926095,322.356556,27.473752,,283419843,knownplanet
325.853765,-7.4082240000000015,7.392,4874.0,0.000398675295589,6.1,1.56,0.000720164769469,325.598368,5.918466,155.648190295,333314269,knownplanet
355.464718,-5.985779,7.075,5727.0,0.0,,0.99,0.000225427805066,353.461566,-3.692092,42.324649309,9005067,knownplanet
351.470792,-20.616038,7.176,5921.0,0.005838999675810001,1.07,1.04,0.000529695906513,343.88536,-15.535243,46.8895498196,9156146,knownplanet
343.973809,-26.658795,7.391,,0.0,,0.9,0.006288173209920001,334.764766,-18.27087,36.6501601564,47526465,knownplanet
354.501228,48.996518,6.4670000000000005,5765.0,0.00398720521831,1.67,1.13,0.00419772337462,20.371254,45.840606,51.1497560101,26370518,knownplanet
333.026002,29.065773,8.494,5530.0,0.0,,0.87,0.003855490723590001,347.6538220000001,37.115864,66.6735542236,27864699,knownplanet
342.3857220000001,-10.675553,10.878,6100.0,0.0,1.26,1.14,0.0113576930425,339.697154,-2.962031,,36592530,knownplanet
334.019775,-10.567309,11.949000000000002,4746.0,0.0,0.68,0.73,0.0182399175468,332.09238,0.174057,,38258419,knownplanet
335.025454,-9.056102,11.235,5922.0,0.0,1.06,1.05,0.0459600041973,333.560054,1.228582,,38354061,knownplanet
331.203054,-12.018903,11.236,5576.0,0.0,1.16,1.11,0.00568932508437,328.9956180000001,-0.208535,,102264230,knownplanet
359.900305,-35.03139,9.109,5600.0,0.00390532602335,0.94,1.03,0.0766907907517,344.333937,-31.741719,89.28593551819998,183532609,knownplanet
357.879533,-39.906726,10.195,4800.0,0.00273944590434,0.81,0.82,0.00188469727611,339.853359,-35.26164199999999,87.12665574409998,183537452,knownplanet
359.348992,-41.27715,11.502,5700.0,0.0007871868806110001,1.03,0.96,0.008716434920379998,340.220277,-37.003815,,184240683,knownplanet
337.457199,-48.003087,9.48,5630.0,0.0025621897195000003,1.13,1.11,0.00322225168688,319.330436,-35.437931,140.795325099,144065872,knownplanet
337.751636,-49.433285,6.237,,0.0,,,0.00642805654301,318.738353,-36.799719,41.390522666399995,144068704,knownplanet
343.041101,35.44711500000001,9.735,6200.0,0.0013762146547200002,1.58,1.28,0.00106004609354,0.932077,38.80086,219.264327412,188876052,knownplanet
359.974285,-22.428089,7.661,6037.0,0.0026600001116,1.7,1.33,0.000305702057764,350.6533790000001,-20.479732,94.1848785869,114807081,knownplanet
340.082776,31.787635,7.487999999999999,6215.0,0.0,,1.22,0.0223819116659,355.982183,36.761582,94.40492691930001,115779095,knownplanet
354.774215,42.465974,9.971,6570.0,0.00135793805698,1.46,1.29,0.00750107164507,15.730779,40.253158,278.661466339,176899385,knownplanet
335.5128640000001,45.457376,10.931,6080.0,0.0004371310681680001,2.21,1.51,0.0457597640428,1.5039209999999998,50.314864,432.63487926199997,199671901,knownplanet
